1, 歌歌う, うたうたう, 〇
2, 柿の木か, かきのきか, 〇
3, 遠い音, とおいおと, 〇
4, イカ食べたかい, いかたべたかい, 〇
5, タイヤを焼いた, たいやをやいた, 〇
6, 留守に何する, るすになにする, 〇
7, 関係ない喧嘩, かんけいないけんか, 〇
8, じいさん天才児, じいさんてんさいじ, 〇
9, 農家のイモ買うの?, のうかのいもかうの, ×
10, 私､負けましたわ, わたしまけましたわ, 〇
11, 夜､すき焼きするよ, よるすきやきするよ, 〇
12, 昼メシの楽しめる日, ひるめしのたのしめるひ, 〇
13, イカのダンスは済んだのかい, いかのだんすはすんだのかい, 〇
14, 確かにこの八百屋の子に貸した, たしかにこのやおやのこにかした, 〇
15, まさか、逆さま？, まさかさかさま, 〇
16, カッコイイ国歌, かっこいいこっか, 〇
17, 確かに貸した, たしかにかした, 〇
18, 竹やぶ焼けた, たけやぶやけた, 〇
19, ママが私にしたわがまま, ままがわたしにしたわがまま, 〇
20, 軽い機敏な子猫何匹いるか？, かるいきびんなこねこのんびきいるか, ×
21, 夜人参煮るよ, よるにんじんにるよ, 〇
22, ダンスが済んだ, だんすがすんだ, 〇
23, 夏まで待つな, なつまでまつな, 〇
24, 意外や意外, いがいやいがい, 〇
25, 猫の子ね, ねこのこね, 〇
26, わしのしわ, わしのしわ, 〇
27, 理科係, りかがかり, 〇
28, 夜来るよ, よるくるよ, 〇
29, ムシ鳴かずに、悲しむ, むしなかずにかなしむ, ×
30, ニワトリと、ことりとワニ, にわとりとことりとわに, 〇
31, 庭のワニ, にわのわに, 〇
32, ナスですな, なすですな, 〇
33, 良い知らせらしいよ, いいしらせらしいよ, ×
34, 私いま目眩したわ, わたしいまめまいしたわ, 〇
35, しんぶんし, しんぶんし, 〇
36, 馬が舞う, うまがまう, 〇
37, 私タワシ渡したわ, わたしたわしわたしたわ, 〇
38, 馬鹿なカバ, ばかなかば, 〇
39, シナモンパンもレモンパンもなし, しなもんぱんもれもんぱんもなし, 〇
40, 菊の茎, きくのくき, 〇
41, 時計は叫ぶ、今朝は行けと, とけいはさけぶけさはいけと, 〇
42, 世の中バカなのよ, よのなかばかなのよ, 〇
43, 素手です, すてです, ×
44, たぶんブタ, たぶんぶた, 〇
45, 飛び込む小人, とびこむこびと, 〇
46, よく利くよ, よくきくよ, 〇
47, 縄の罠, なわのわな, 〇
48, 足しました, たしました, 〇
49, 皆花見, みんなはなみ, ×
50, 色白い, いろじろい, 〇
